"","baker","baker_age","series","episode","technical","result","signature_bake","show_stopper","baker_occupation","hometown"
"1","annetha",30,1,1,2,"in","light jamaican black cakewith strawberries and cream","red, white & blue chocolate cake with cigarellos, fresh fruit, and cream","midwife","essex"
"2","david",31,1,1,3,"in","chocolate orange cake","black forest floor gateauxwith moulded chocolate leaves, fallen fruitand chocolate mushrooms moulded from eggs","entrepreneur","milton keynes"
"3","edd",24,1,1,1,"in","caramel cinnamon and banana cake",NA,"debt collector for yorkshire bank","bradford"
"4","jasminder",45,1,1,NA,"in","fresh mango and passion fruit hummingbird cake",NA,"assistant credit control manager","birmingham"
"5","jonathan",25,1,1,9,"in","carrot cake with lime and cream cheese icing","three tiered white and dark chocolate with almond and cherry","research analyst","st albans"
"6","louise",44,1,1,NA,"in","carrot and orange cake","never fail chocolate sponge cake,with fresh fruit, white & chocolate cigarello border","police officer","manchester"
"7","miranda",37,1,1,8,"in","triple layered brownie meringue cake
with raspberry cream","three tiered chocolate fudge cake  with handmade chocolate button decorations","food buyer for marks & spencer","midhurst, west sussex"
"8","ruth",31,1,1,NA,"in","three tiered lemon drizzle cakewith fresh cream and freshly made lemon curd","classic chocolate sponge wrapped in a chocolate collartopped with handmade white and dark chocolate truffles","retail manager/housewife","poynton, cheshire"
"9","lea",51,1,1,10,"out","cranberry and pistachio cakewith orange flower water icing","raspberries and cream filled chocolatewith chocolate-dipped fresh fruit","retired","midlothian, scotland"
"10","mark",48,1,1,NA,"out","sticky marmalade tea loaf","heart-shaped chocolate and beetroot cake with store-bought silver chocolate hearts and chocolate red and white roses.","bus driver","south wales"
"11","david",31,1,2,8,"in","cheddar cheese and fresh rosemary biscuits","choux pastry swans  chocolate profiteroles","entrepreneur","milton keynes"
"12","edd",24,1,2,6,"in","oatmeal raisin cookie","pink macarons","debt collector for yorkshire bank","bradford"
"13","jasminder",45,1,2,2,"in","millionaires' shortbread","meringues with chocolate and space dustcoffee flavoured eclairs","assistant credit control manager","birmingham"
"14","jonathan",25,1,2,1,"in","honey and candied ginger cookies","meringues with whiskey cream","research analyst","st albans"
"15","miranda",37,1,2,3,"in","fresh vanilla biscuits with royal icing","pistachio macarons","food buyer for marks & spencer","midhurst, west sussex"
"16","ruth",31,1,2,5,"in","peanut shortbread withsalted peanut caramel","almond macaron with violet buttercreamraspberries and cream eclairs","retail manager/housewife","poynton, cheshire"
"17","annetha",30,1,2,7,"out","rose petal shortbread","pink swirl macarons / eclairs","midwife","essex"
"18","louise",44,1,2,4,"out","stained glass window shortbread","strawberry, mint, and cream meringues  chocolate eclairs / orange, yellow and pink macarons","police officer","manchester"
"19","david",31,1,3,4,"in","chilli bread","walnut and seed roll
red berry and almond bun","entrepreneur","milton keynes"
"20","edd",24,1,3,1,"in","olive bread","tomato and mozzarella","debt collector for yorkshire bank","bradford"
"21","jasminder",45,1,3,5,"in","focaccia","mango and sultana buns
pan au chocolat with mars bars
tutti frutti wheel with jelly tots","assistant credit control manager","birmingham"
"22","miranda",37,1,3,3,"in","walnut and apricot bread","lemon iced buns
chocolate and orange buns","food buyer for marks & spencer","midhurst, west sussex"
"23","ruth",31,1,3,2,"in","maple and pecan bread","chocolate and orange panettone
cranberry bagels","retail manager/housewife","poynton, cheshire"
"24","jonathan",25,1,3,6,"out","anchovy, sweet paprika and oregano bread","sticky lemon honey bun
olive and anchovy roll
sundried tomatoes and fresh herbs roll
stilton, walnut and apple roll
cinnamon and cardamom chelsea bun","research analyst","st albans"
"25","edd",24,1,4,3,"in","apple and plum pudding","apple and cinnamon crumble, nutella banana brioche bread pudding, rhubarb and strawberry suet layer","debt collector for yorkshire bank","bradford"
"26","jasminder",45,1,4,2,"in","sticky toffee pudding with tropical fruit & toffee sauce","bread & butter pudding, treacle suet pudding with fresh fruit, apple and pineapple crumble","assistant credit control manager","birmingham"
"27","miranda",37,1,4,1,"in","sticky toffee pudding","queen of puddings, chocolate pear roly poly, strawberry and rhubarb crumble","food buyer for marks & spencer","midhurst, west sussex"
"28","ruth",31,1,4,4,"in","peach and blueberry boy bait","apple & ginger crumble, rhubarb suet crust, cherry queen of puddings","retail manager/housewife","poynton, cheshire"
"29","david",31,1,4,5,"out","pear and walnut pudding","apple and blackberry crumble, rhubarb and orange betty, suet pear","entrepreneur","milton keynes"
"30","edd",24,1,5,2,"in","chicken, ham, leek and tarragon pie","almond sweet pastry with ginger and chocolate  raspberry tart / yorkshire curd tart  chickpea and salami, red and yellow pepper, asparagus gruyere quiche canapés","debt collector for yorkshire bank","bradford"
"31","miranda",37,1,5,1,"in","summery salmon, cod and prawn fish pie","chocolate pastry filled with orange cheesecake  chocolate pastry filled with milk chocolate ganche  strawberry tart with red currant glaze  cheesy crab, broad bean and tomato, pancetta risotto canapés","food buyer for marks & spencer","midhurst, west sussex"
"32","ruth",31,1,5,3,"in","minced beef pie","raspberry and dark chocolate tart  creme patisserie and cherry tart  citrus curd tart with creme brulee top  tomato, asparagus twirl canapés","retail manager/housewife","poynton, cheshire"
"33","jasminder",45,1,5,4,"out","chicken and mushroom pie","jaggery, carrot, and spiced condensed milk tart  fruit and custard tart  thai chili red onion, duck in plum sauce, salmon and prawn canapés","assistant credit control manager","birmingham"
"34","miranda",37,1,6,NA,"runner-up","lemon cupcake","eliminated after signature","food buyer for marks & spencer","midhurst, west sussex"
"35","ruth",31,1,6,NA,"runner-up","mint, ginger and blackberry cake",NA,"retail manager/housewife","poynton, cheshire"
"36","edd",24,1,6,NA,"winner","cinnamon and banana cake",NA,"debt collector for yorkshire bank","bradford"
"37","ben",31,2,1,2,"in","rhubarb and custard cupcakesafter dinner cupcakes","vanilla sponge with white chocolate and raspberry buttercream","graphic designer","northampton"
"38","ian",40,2,1,10,"in","apple and cinnamon cupcakes",NA,"fundraiser for english heritage","dunstable, bedfordshire"
"39","janet",63,2,1,8,"in","raspberry and cream cupcakes","chocolate marble cakewith dark and white chocolate truffles","teacher of modern languages","formby, liverpool"
"40","jason",19,2,1,6,"in","lemon meringue cupcakesapple and cinnamon cupcakes",NA,"civil engineering student","croydon"
